epoch,median_time,median_loss
1,0.021999835968017578,1.3311925917059115
2,0.03500008583068848,1.2738346642491558
3,0.04999995231628418,1.2597610496611795
4,0.06400012969970703,1.251070823672582
5,0.07700014114379883,1.239062832060518
6,0.09200000762939453,1.2347256764831382
7,0.10599994659423828,1.2302519441913287
8,0.11999988555908203,1.2292627516349288
9,0.13399982452392578,1.2291132836845637
10,0.14700007438659668,1.228484970307626
11,0.16199994087219238,1.2280456403513513
12,0.17600011825561523,1.2282653053294887
13,0.1919999122619629,1.2280456403513513
14,0.2089998722076416,1.2265423700073237
15,0.22499990463256836,1.2258732129828007
16,0.24199986457824707,1.2223829181081267
17,0.2569999694824219,1.2223829181081267
18,0.27300000190734863,1.222310803180079
19,0.28999996185302734,1.222310803180079
20,0.3080000877380371,1.222238688252031
21,0.3229999542236328,1.222238688252031
22,0.33900022506713867,1.222238688252031
23,0.3559999465942383,1.222238688252031
24,0.37199997901916504,1.222238688252031
25,0.38899993896484375,1.222238688252031
26,0.4049999713897705,1.222238688252031
27,0.4219999313354492,1.222238688252031
28,0.442000150680542,1.222238688252031
29,0.46000003814697266,1.222238688252031
30,0.4779999256134033,1.220613844056033
31,0.49699997901916504,1.2200173439808801
32,0.5179998874664307,1.2200173439808801
33,0.5369999408721924,1.2189200008750798
34,0.5590000152587891,1.2189200008750798
35,0.5870001316070557,1.2189200008750798
36,0.6070001125335693,1.2189200008750798
37,0.6360001564025879,1.2189200008750798
38,0.6640000343322754,1.2189200008750798
39,0.684999942779541,1.2189200008750798
40,0.7029999494552612,1.2181845901780575
41,0.7199999094009399,1.2181845901780575
42,0.7335000038146973,1.2169825137262786
43,0.7460000514984131,1.2169825137262786
44,0.7620000839233398,1.2169825137262786
45,0.7720000743865967,1.2169641300205336
46,0.7845001220703125,1.2169641300205336
47,0.7969999313354492,1.2169641300205336
48,0.8105000257492065,1.2169641300205336
49,0.8230000734329224,1.2169641300205336
50,0.8360000848770142,1.2169641300205336
51,0.8510000705718994,1.2169641300205336
52,0.8650000095367432,1.2169641300205336
53,0.8765000104904175,1.2169641300205336
54,0.8904999494552612,1.2148260871446528
55,0.9019999504089355,1.2148260871446528
56,0.9149999618530273,1.2148260871446528
57,0.9294999837875366,1.2148260871446528
58,0.9409999847412109,1.2148260871446528
59,0.9544999599456787,1.2148260871446528
60,0.9689998626708984,1.2148260871446528
61,0.9849998950958252,1.2148260871446528
62,0.999000072479248,1.2148260871446528
63,1.0160000324249268,1.2148260871446528
64,1.0320000648498535,1.2148260871446528
65,1.0450000762939453,1.2148260871446528
66,1.059999942779541,1.2148260871446528
67,1.0740000009536743,1.2128505800485694
68,1.0929999351501465,1.2128505800485694
69,1.1089999675750732,1.2128505800485694
70,1.123999834060669,1.2128505800485694
71,1.1419999599456787,1.2128505800485694
72,1.1649999618530273,1.2128505800485694
73,1.1805000305175781,1.2128505800485694
74,1.194000005722046,1.2128505800485694
75,1.2089998722076416,1.211861434052188
76,1.2239999771118164,1.211861434052188
77,1.2350001335144043,1.211861434052188
78,1.251999855041504,1.2107217165470878
79,1.2660000324249268,1.2107217165470878
80,1.2790000438690186,1.2107217165470878
81,1.2920000553131104,1.2107217165470878
82,1.305999994277954,1.2107217165470878
83,1.323000192642212,1.2107217165470878
84,1.3369998931884766,1.2107217165470878
85,1.3570001125335693,1.2107217165470878
86,1.3690000772476196,1.2114994550634663
87,1.3819999694824219,1.2114994550634663
88,1.3960001468658447,1.2114994550634663
89,1.4100000858306885,1.2114994550634663
90,1.4235000610351562,1.2114994550634663
91,1.434999942779541,1.2114994550634663
92,1.4474999904632568,1.2114994550634663
93,1.4570000171661377,1.2114994550634663
94,1.4674999713897705,1.2114994550634663
95,1.4794999361038208,1.2114994550634663
96,1.4929999113082886,1.2114994550634663
97,1.503000020980835,1.2114994550634663
98,1.5184999704360962,1.2114994550634663
99,1.5320000648498535,1.2114994550634663
100,1.5460000038146973,1.2114994550634663
101,1.562000036239624,1.2114994550634663
102,1.5755000114440918,1.2114994550634663
103,1.5865000486373901,1.2114994550634663
104,1.5985000133514404,1.2114994550634663
105,1.6110000610351562,1.2114994550634663
106,1.623500108718872,1.2114994550634663
107,1.6365001201629639,1.2114994550634663
108,1.649999976158142,1.2114994550634663
109,1.6619999408721924,1.2114994550634663
110,1.6735000610351562,1.2114994550634663
111,1.684999942779541,1.2114994550634663
112,1.6959998607635498,1.2114994550634663
113,1.7070000171661377,1.2114994550634663
114,1.718999981880188,1.2114994550634663
115,1.7300000190734863,1.2114994550634663
116,1.7424999475479126,1.2114994550634663
117,1.7545000314712524,1.2114994550634663
118,1.7660000324249268,1.2114994550634663
119,1.7769999504089355,1.2114994550634663
120,1.7894999980926514,1.2114994550634663
121,1.8014999628067017,1.2114994550634663
122,1.812000036239624,1.2114994550634663
123,1.8279999494552612,1.2114994550634663
124,1.8410000801086426,1.2114994550634663
125,1.8580000400543213,1.2114994550634663
126,1.8680000305175781,1.2114994550634663
127,1.878999948501587,1.2114994550634663
128,1.8900001049041748,1.2114994550634663
129,1.9019999504089355,1.2114994550634663
130,1.9155000448226929,1.2114994550634663
131,1.9244999885559082,1.2114994550634663
132,1.936999797821045,1.2114994550634663
133,1.9470000267028809,1.2114994550634663
134,1.9579999446868896,1.2114994550634663
135,1.9720001220703125,1.2114994550634663
136,1.9824999570846558,1.2114994550634663
137,1.9950000047683716,1.21140605670913
138,2.003000020980835,1.21140605670913
139,2.0149999856948853,1.21140605670913
140,2.0255000591278076,1.21140605670913
141,2.037999987602234,1.21140605670913
142,2.049499988555908,1.21140605670913
143,2.059000015258789,1.21140605670913
144,2.0700000524520874,1.21140605670913
145,2.0799999237060547,1.21140605670913
146,2.0910000801086426,1.21140605670913
147,2.101499915122986,1.21140605670913
148,2.1110000610351562,1.21140605670913
149,2.121000051498413,1.21140605670913
150,2.132499933242798,1.21140605670913
151,2.1420000791549683,1.21140605670913
152,2.1540000438690186,1.21140605670913
153,2.1610000133514404,1.21140605670913
154,2.1710000038146973,1.21140605670913
155,2.180999994277954,1.21140605670913
156,2.194499969482422,1.21140605670913
157,2.2050000429153442,1.21140605670913
158,2.2174999713897705,1.21140605670913
159,2.2269999980926514,1.21140605670913
160,2.239500045776367,1.21140605670913
161,2.253999948501587,1.2107217165470878
162,2.260999917984009,1.2107217165470878
163,2.2730000019073486,1.2107217165470878
164,2.2850000858306885,1.2107217165470878
165,2.2980000972747803,1.2107217165470878
166,2.306999921798706,1.2066831554621762
167,2.31499981880188,1.2066831554621762
168,2.3239998817443848,1.2066831554621762
169,2.3340001106262207,1.2066831554621762
170,2.3439998626708984,1.2066831554621762
171,2.3510000705718994,1.2066831554621762
172,2.36299991607666,1.2066831554621762
173,2.372499942779541,1.2087024360046321
174,2.384500026702881,1.2087024360046321
175,2.393999934196472,1.2087024360046321
